Name,Town,District,Genre
Andal Temple,Srivilliputhur,Virudhunagar,Temple
Meenakshi Amman Temple,Madurai,Madurai,Temple
Thirumalai Nayak Palace,Madurai,Madurai,Palace
Ramanathaswamy Temple,Rameswaram,Ramanathapuram,Temple
Pamban Bridge,Rameswaram,Ramanathapuram,Bridge
Vivekananda Rock Memorial,Kanyakumari,Kanyakumari,Memorial
Thiruvalluvar Statue,Kanyakumari,Kanyakumari,Statue
Suchindram Thanumalayan Temple,Suchindram,Kanyakumari,Temple
Kalakkadu Wildlife Sanctuary,Kalakkadu,Tirunelveli,Wildlife
Nellaiappar Temple,Tirunelveli,Tirunelveli,Temple
Courtallam Falls,Courtallam,Tirunelveli,Waterfalls
Manapad Holy Cross Church,Manapad,Thoothukudi,Church
Kalugumalai Jain Beds,Kalugumalai,Thoothukudi,Heritage (Jain cave)
Brihadeeswarar Temple (Big Temple),Thanjavur,Thanjavur,Temple
Airavatesvara Temple,Darasuram,Thanjavur,Temple
Gangaikonda Cholapuram Temple,Gangaikonda Cholapuram,Ariyalur,Temple
Punnainallur Mariamman Temple,Thanjavur,Thanjavur,Temple
Thanjavur Maratha Palace,Thanjavur,Thanjavur,Palace
Rock Fort (Ucchi Pillayar Temple),Tiruchirappalli,Tiruchirappalli,Fort & Temple
Sri Ranganathaswamy Temple (Srirangam),Srirangam,Tiruchirappalli,Temple
Jambukeswarar Temple,Tiruvanaikaval,Tiruchirappalli,Temple
Vekkali Amman Temple,Woraiyur,Tiruchirappalli,Temple
Pachamalai Hills,Thuraiyur,Tiruchirappalli,Nature
Chidambaram Nataraja Temple,Chidambaram,Cuddalore,Temple
Pichavaram Mangrove Forest,Chidambaram,Cuddalore,Nature
Mailam Murugan Temple,Mailam,Villupuram,Temple
Gingee Fort,Gingee,Villupuram,Fort
Kamakshi Amman Temple,Kanchipuram,Kanchipuram,Temple
Varadharaja Perumal Temple,Kanchipuram,Kanchipuram,Temple
Ekambareswarar Temple,Kanchipuram,Kanchipuram,Temple
Shore Temple,Mahabalipuram,Kanchipuram,Temple
Arjuna's Penance,Mahabalipuram,Kanchipuram,Heritage Rock-cut
Pancha Rathas,Mahabalipuram,Kanchipuram,Monolithic Temples
Krishna's Butter Ball,Mahabalipuram,Kanchipuram,Natural Rock
Crocodile Bank,Vadanemmeli,Chengalpattu,Wildlife
Vedanthangal Bird Sanctuary,Vedanthangal,Chengalpattu,Wildlife
Vellore Fort,Vellore,Vellore,Fort
Sripuram Golden Temple,Vellore,Vellore,Temple
Yelagiri Hills,Yelagiri,Vellore,Hill Station
Pulicat Lake,Pulicat,Tiruvallur,Lake
San Thome Basilica,Chennai,Chennai,Church
Kapaleeswarar Temple,Mylapore,Chennai,Temple
Fort St. George,Chennai,Chennai,Fort
Government Museum,Egmore,Chennai,Museum
Marina Beach,Chennai,Chennai,Beach
Guindy National Park,Guindy,Chennai,Wildlife
DakshinaChitra Museum,Muttukadu,Chengalpattu,Museum
Vellore Fort Extension 1,Vellore,Kanchipuram,Fort
Vivekananda Rock Memorial Extension 2,Kanyakumari,Ramanathapuram,Nature
Brihadeeswarar Temple (Big Temple) Extension 3,Thanjavur,Virudhunagar,Museum
Varadharaja Perumal Temple Extension 4,Kanchipuram,Ramanathapuram,Museum
Pancha Rathas Extension 5,Mahabalipuram,Tiruchirappalli,Wildlife
Kalakkadu Wildlife Sanctuary Extension 6,Kalakkadu,Madurai,Church
Thanjavur Maratha Palace Extension 7,Thanjavur,Kanchipuram,Nature
Pancha Rathas Extension 8,Mahabalipuram,Virudhunagar,Monument
Andal Temple Extension 9,Srivilliputhur,Vellore,Church
Varadharaja Perumal Temple Extension 10,Kanchipuram,Tiruvallur,Wildlife
Kalakkadu Wildlife Sanctuary Extension 11,Kalakkadu,Madurai,Church
Sri Ranganathaswamy Temple (Srirangam) Extension 12,Srirangam,Ariyalur,Lake
Suchindram Thanumalayan Temple Extension 13,Suchindram,Villupuram,Beach
Kapaleeswarar Temple Extension 14,Mylapore,Chennai,Palace
Kalugumalai Jain Beds Extension 15,Kalugumalai,Madurai,Church
Vekkali Amman Temple Extension 16,Woraiyur,Virudhunagar,Church
Yelagiri Hills Extension 17,Yelagiri,Chennai,Wildlife
Punnainallur Mariamman Temple Extension 18,Thanjavur,Virudhunagar,Fort
Pancha Rathas Extension 19,Mahabalipuram,Kanchipuram,Nature
San Thome Basilica Extension 20,Chennai,Villupuram,Heritage
Arjuna's Penance Extension 21,Mahabalipuram,Cuddalore,Lake
Brihadeeswarar Temple (Big Temple) Extension 22,Thanjavur,Chennai,Monument
Pachamalai Hills Extension 23,Thuraiyur,Ariyalur,Beach
Shore Temple Extension 24,Mahabalipuram,Villupuram,Monument
Vekkali Amman Temple Extension 25,Woraiyur,Thanjavur,Palace
Kalakkadu Wildlife Sanctuary Extension 26,Kalakkadu,Kanchipuram,Beach
Ramanathaswamy Temple Extension 27,Rameswaram,Madurai,Church
Suchindram Thanumalayan Temple Extension 28,Suchindram,Madurai,Palace
Jambukeswarar Temple Extension 29,Tiruvanaikaval,Cuddalore,Church
Gangaikonda Cholapuram Temple Extension 30,Gangaikonda Cholapuram,Villupuram,Hill Station
Thiruvalluvar Statue Extension 31,Kanyakumari,Virudhunagar,Palace
Fort St. George Extension 32,Chennai,Thanjavur,Palace
Chidambaram Nataraja Temple Extension 33,Chidambaram,Virudhunagar,Beach
